"Champion","Pos","GP","P%","B%","P+B%","W%","CTR%","K","D","A","KDA","KP","DTH%","FB%","GD10","XPD10","CSD10","CSPM","CS%P15","DPM","DMG%","GOLD%","WPM","WCPM"
"Corki","ADC",2,"8.3%","4.2%","12.5%","50%","50%",15,4,13,7,"77.8%","16.0%","50%",276,53,-3.5,9.6,"32.3%",1072,"30.2%","29.2%",0.42,0.31
"Dr. Mundo","Jungle",1,"4.2%","4.2%","8.3%","100%","100%",6,1,5,11,"84.6%","8.3%","0%",-303,473,11,7.3,"20.6%",538,"27.7%","23.9%",0.35,0.54
"Draven","ADC",1,"4.2%","0.0%","4.2%","0%","100%",1,2,1,1,"22.2%","16.7%","0%",219,127,19,9.9,"30.6%",778,"27.3%","25.8%",0.4,0.29
"Ezreal","ADC",6,"25.0%","8.3%","33.3%","83%","20%",36,8,29,8.1,"61.3%","11.0%","17%",245,147,7.7,10.1,"31.2%",996,"33.0%","27.8%",0.46,0.26
"Galio","Middle",2,"8.3%","4.2%","12.5%","50%","100%",3,6,17,3.3,"69.0%","23.1%","50%",-112,-218,-3,8.8,"23.0%",498,"21.2%","20.6%",0.37,0.25
"Gnar","Top",6,"25.0%","8.3%","33.3%","0%","33%",12,18,15,1.5,"50.0%","16.7%","0%",371,76,8,9.1,"27.0%",700,"24.9%","23.0%",0.45,0.2
"Gwen","Top",2,"8.3%","8.3%","16.7%","50%","50%",5,8,8,1.6,"50.0%","29.6%","0%",-664,-126,-5.5,8.6,"25.3%",530,"20.9%","19.8%",0.43,0.11
"Jarvan IV","Jungle",5,"20.8%","41.7%","62.5%","40%","0%",8,21,33,2,"70.7%","21.2%","40%",-208,-31,-2.4,6.8,"18.8%",397,"14.5%","19.2%",0.34,0.35
"Jax","-",0,"0%","4.2%","4.2%","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"Jayce","Top",2,"8.3%","29.2%","37.5%","50%","0%",1,8,4,0.6,"19.2%","34.8%","0%",339,360,11,9,"22.8%",628,"26.4%","18.2%",0.52,0.14
"Jhin","ADC",4,"16.7%","12.5%","29.2%","50%","33%",7,8,23,3.8,"68.2%","19.0%","50%",-123,160,5.5,9.9,"28.0%",459,"19.1%","25.1%",0.47,0.23
"Jinx","ADC",1,"4.2%","0.0%","4.2%","100%","100%",9,0,3,12,"70.6%","0.0%","0%",-606,-329,-9,10.9,"38.1%",936,"30.7%","31.9%",0.54,0.62
"K'Sante","Top",5,"20.8%","8.3%","29.2%","40%","75%",8,15,20,1.9,"49.1%","18.3%","20%",-150,-90,1,8.6,"22.7%",417,"15.9%","20.4%",0.33,0.23
"Kai'Sa","ADC",1,"4.2%","0.0%","4.2%","0%","100%",2,4,3,1.3,"55.6%","17.4%","0%",-154,-169,-9,9.7,"30.4%",756,"22.5%","26.3%",0.47,0.16
"Kalista","ADC",1,"4.2%","0.0%","4.2%","100%","0%",6,3,7,4.3,"59.1%","33.3%","0%",-688,-429,-23,8.4,"24.6%",847,"25.7%","23.7%",0.37,0.3
"Karma","Support",4,"16.7%","45.8%","62.5%","25%","50%",4,12,21,2.1,"75.8%","18.8%","25%",27,148,-1.8,1.1,"2.0%",224,"10.0%","10.9%",1.95,0.36
"Kennen","Top",1,"4.2%","4.2%","8.3%","0%","100%",2,2,0,1,"66.7%","12.5%","0%",489,371,31,10.8,"32.4%",604,"30.2%","32.3%",0.32,0.04
"LeBlanc","Middle",2,"8.3%","20.8%","29.2%","50%","50%",5,2,13,9,"60.0%","12.5%","50%",278,388,6.5,8.3,"20.9%",860,"29.5%","20.1%",0.35,0.26
"Lee Sin","Jungle",2,"8.3%","0.0%","8.3%","50%","100%",10,4,7,4.3,"68.0%","17.4%","100%",-196,-177,-1.5,7.6,"22.4%",411,"14.9%","23.7%",0.62,0.38
"Lucian","ADC",5,"20.8%","25.0%","45.8%","100%","25%",19,11,27,4.2,"54.1%","30.6%","0%",-142,4,-7,9.2,"29.1%",830,"27.8%","24.8%",0.47,0.26
"Lulu","Support",5,"20.8%","8.3%","29.2%","40%","80%",2,6,39,6.8,"71.9%","8.1%","0%",-108,-100,-4,1,"2.0%",170,"6.2%","9.6%",2,0.43
"Maokai","Jungle",1,"4.2%","0.0%","4.2%","100%","100%",2,2,12,7,"82.4%","20.0%","0%",645,422,13,6.9,"18.3%",696,"22.8%","19.5%",0.37,0.24
"Milio","Support",6,"25.0%","16.7%","41.7%","67%","40%",1,7,68,9.9,"73.4%","13.7%","17%",-155,-41,-1.2,0.9,"1.7%",162,"5.6%","10.1%",1.95,0.37
"Naafiri","Jungle",4,"16.7%","29.2%","45.8%","50%","25%",13,10,21,3.4,"70.8%","19.6%","25%",-52,-142,0.3,7.1,"19.7%",707,"24.8%","21.3%",0.32,0.38
"Nami","Support",3,"12.5%","4.2%","16.7%","67%","67%",3,3,40,14.3,"89.6%","8.6%","33%",282,291,5.7,1,"1.7%",343,"9.6%","11.2%",1.67,0.43
"Nautilus","Support",1,"4.2%","45.8%","50.0%","0%","0%",1,5,2,0.6,"30.0%","26.3%","0%",-159,-482,-5,1,"1.7%",99,"5.0%","8.6%",2.08,0.45
"Neeko","Support",6,"25.0%","4.2%","29.2%","17%","40%",6,16,22,1.8,"56.0%","14.5%","0%",-25,-93,2.5,1.3,"3.6%",344,"12.6%","11.4%",2.11,0.57
"Nocturne","Jungle",3,"12.5%","54.2%","66.7%","33%","33%",6,14,18,1.7,"55.8%","34.1%","33%",-185,-256,0.3,7.1,"20.1%",405,"12.6%","19.9%",0.36,0.38
"Olaf","Jungle",1,"4.2%","8.3%","16.7%","100%","100%",8,2,7,7.5,"75.0%","33.3%","100%",879,135,8,7.6,"22.7%",609,"24.3%","23.9%",0.22,0.34
"Olaf","Top",1,"4.2%","8.3%","16.7%","0%","100%",1,5,6,1.4,"70.0%","29.4%","100%",278,-285,8,8.8,"27.7%",782,"26.7%","21.1%",0.29,0.16
"Orianna","Middle",6,"25.0%","29.2%","54.2%","17%","20%",15,17,30,2.6,"71.4%","18.3%","0%",193,390,8.3,8.6,"23.4%",690,"25.4%","21.1%",0.46,0.15
"Ornn","Top",2,"8.3%","0.0%","8.3%","100%","100%",5,0,17,22,"55.0%","0.0%","0%",-472,-61,-9,8.3,"20.6%",412,"16.6%","18.7%",0.28,0.19
"Pantheon","Jungle",3,"12.5%","37.5%","50.0%","100%","33%",15,5,22,7.4,"67.3%","25.0%","33%",392,-7,0.7,7.1,"20.0%",580,"19.6%","20.3%",0.33,0.25
"Poppy","Jungle",1,"4.2%","0.0%","4.2%","100%","0%",1,4,6,1.8,"58.3%","40.0%","0%",-352,269,14,5.9,"15.5%",499,"13.1%","16.7%",0.32,0.61
"Qiyana","Jungle",2,"8.3%","0.0%","8.3%","0%","0%",3,10,6,0.9,"52.9%","27.0%","100%",410,-415,-12.5,6.7,"22.1%",648,"22.5%","23.8%",0.37,0.42
"Rakan","Support",5,"20.8%","4.2%","25.0%","80%","60%",5,6,61,11,"78.6%","14.0%","80%",134,-72,-3.4,1.1,"2.4%",161,"5.8%","11.3%",2.23,0.62
"Rek'Sai","Jungle",3,"12.5%","0.0%","16.7%","100%","100%",14,5,24,7.6,"66.7%","31.3%","67%",293,559,10.3,7.3,"19.0%",480,"18.6%","21.2%",0.35,0.32
"Rek'Sai","Top",1,"4.2%","0.0%","16.7%","100%","100%",3,1,1,4,"30.8%","25.0%","0%",167,84,-7,9.6,"25.8%",611,"23.1%","24.2%",0.37,0.14
"Rell","Support",1,"4.2%","0.0%","4.2%","100%","100%",1,1,12,13,"68.4%","10.0%","100%",159,482,5,1.3,"1.9%",208,"7.6%","11.7%",2.32,0.62
"Renata Glasc","Support",1,"4.2%","0.0%","4.2%","100%","100%",1,2,14,7.5,"68.2%","22.2%","0%",-375,-70,1,1.3,"4.8%",275,"8.4%","11.1%",1.67,0.71
"Renekton","Top",3,"12.5%","4.2%","16.7%","33%","67%",5,6,6,1.8,"42.3%","16.7%","0%",-378,-400,-18,8.9,"27.9%",372,"17.7%","21.2%",0.32,0.17
"Rumble","Top",6,"25.0%","20.8%","45.8%","33%","0%",13,21,31,2.1,"56.4%","23.9%","0%",347,125,3.5,8.7,"24.4%",659,"22.9%","22.7%",0.45,0.12
"Ryze","Middle",6,"25.0%","12.5%","37.5%","100%","0%",27,14,36,4.5,"54.3%","23.3%","17%",-127,-347,-2.5,9.1,"25.7%",589,"19.1%","21.1%",0.44,0.24
"Senna","ADC",2,"8.3%","0.0%","8.3%","50%","100%",4,2,18,11,"88.0%","8.3%","0%",200,-141,-1,8.7,"26.1%",715,"27.0%","26.4%",0.38,0.37
"Seraphine","Support",4,"16.7%","20.8%","37.5%","25%","0%",3,17,32,2.1,"85.4%","27.9%","0%",1,71,5.8,1.1,"1.5%",229,"9.3%","9.5%",1.93,0.33
"Shen","-",0,"0%","4.2%","4.2%","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"Sion","Top",7,"29.2%","4.2%","33.3%","57%","17%",17,20,41,2.9,"61.7%","20.8%","14%",-99,68,-5.3,7.6,"20.3%",553,"19.5%","18.7%",0.35,0.2
"Sivir","ADC",4,"16.7%","4.2%","20.8%","25%","75%",14,8,14,3.5,"66.7%","16.0%","25%",-74,37,1.5,10.8,"34.1%",855,"31.5%","28.9%",0.53,0.28
"Skarner","Jungle",4,"16.7%","8.3%","25.0%","25%","50%",5,12,20,2.1,"69.4%","21.8%","0%",-289,150,0,6.1,"15.1%",396,"15.4%","17.3%",0.33,0.31
"Smolder","ADC",1,"4.2%","0.0%","4.2%","0%","100%",0,2,0,0,"0.0%","11.8%","0%",-1048,-514,-26,9.5,"34.5%",471,"29.4%","26.8%",0.38,0.25
"Sylas","Middle",1,"4.2%","8.3%","16.7%","100%","100%",11,0,2,13,"76.5%","0.0%","0%",578,-324,-4,9.3,"22.1%",881,"34.5%","22.1%",0.51,0.04
"Sylas","Top",1,"4.2%","8.3%","16.7%","100%","100%",5,1,6,11,"47.8%","16.7%","0%",29,439,12,9.3,"27.7%",573,"21.3%","20.2%",0.47,0.34
"Syndra","Middle",2,"8.3%","8.3%","16.7%","0%","100%",4,8,5,1.1,"90.0%","22.2%","0%",130,171,5.5,9,"25.1%",594,"24.5%","23.2%",0.38,0.14
"Taliyah","Middle",3,"12.5%","0.0%","12.5%","67%","33%",5,9,16,2.3,"48.8%","25.7%","33%",-141,-362,-3.7,8.7,"23.1%",592,"20.1%","18.8%",0.52,0.24
"Thresh","Support",1,"4.2%","0.0%","4.2%","100%","0%",0,2,12,6,"70.6%","20.0%","0%",-174,-338,4,1,"1.2%",127,"4.2%","10.1%",1.93,0.29
"Tristana","Middle",1,"4.2%","0.0%","4.2%","0%","100%",2,3,1,1,"37.5%","18.8%","0%",452,541,8,10.2,"29.4%",685,"28.4%","26.8%",0.79,0.47
"Trundle","Jungle",4,"16.7%","8.3%","25.0%","50%","67%",10,10,26,3.6,"78.3%","23.3%","50%",-156,-8,-1.5,6.4,"17.5%",366,"14.3%","19.8%",0.33,0.55
"Twisted Fate","Middle",2,"8.3%","12.5%","25.0%","50%","0%",11,6,9,3.3,"76.9%","23.1%","50%",146,-575,-15.5,8.3,"23.8%",807,"26.4%","25.6%",0.31,0.21
"Twisted Fate","Top",1,"4.2%","12.5%","25.0%","100%","-",7,2,7,7,"70.0%","25.0%","0%",408,-248,9,7.5,"22.6%",739,"25.0%","24.3%",0.48,0.21
"Varus","ADC",2,"8.3%","66.7%","75.0%","0%","50%",7,6,3,1.7,"71.4%","15.4%","0%",-467,-70,-3,9.2,"29.2%",754,"32.6%","29.2%",0.55,0.2
"Vayne","Top",2,"8.3%","45.8%","54.2%","50%","50%",9,5,7,3.2,"51.6%","21.7%","50%",649,221,11,8.4,"25.6%",766,"26.9%","21.7%",0.48,0.21
"Vi","Jungle",4,"16.7%","16.7%","33.3%","50%","50%",13,16,35,3,"68.6%","28.6%","25%",171,207,0.3,7,"19.1%",433,"13.4%","19.2%",0.43,0.35
"Viktor","Middle",3,"12.5%","0.0%","12.5%","33%","33%",8,12,9,1.4,"81.0%","24.5%","0%",-376,-283,-1.3,8.5,"24.8%",1030,"35.0%","22.6%",0.44,0.13
"Volibear","-",0,"0%","4.2%","4.2%","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"Wukong","-",0,"0%","4.2%","4.2%","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"Xayah","ADC",3,"12.5%","0.0%","12.5%","67%","67%",12,6,18,5,"68.2%","18.2%","33%",503,283,15.3,10.6,"31.1%",673,"26.3%","27.3%",0.57,0.31
"Xin Zhao","Jungle",4,"16.7%","12.5%","29.2%","25%","75%",11,19,10,1.1,"67.7%","29.2%","25%",-504,-917,-18,6.2,"16.7%",411,"17.4%","19.2%",0.35,0.39
"Yone","Middle",1,"4.2%","0.0%","4.2%","100%","100%",3,3,7,3.3,"58.8%","30.0%","0%",351,679,11,8.5,"23.2%",683,"22.4%","20.5%",0.27,0.11
"Yorick","Top",2,"8.3%","0.0%","8.3%","100%","100%",5,5,9,2.8,"42.4%","17.2%","0%",-811,-205,-13.5,8.5,"26.5%",683,"17.4%","21.5%",0.34,0.14
"Yunara","ADC",2,"8.3%","0.0%","8.3%","50%","100%",5,3,7,4,"57.1%","10.0%","0%",-366,-290,-9,9.8,"32.5%",672,"26.9%","27.9%",0.5,0.34
"Zaahen","Jungle",2,"8.3%","8.3%","16.7%","0%","100%",5,5,7,2.4,"60.0%","13.9%","0%",-219,142,0.5,7,"19.4%",396,"16.3%","21.1%",0.34,0.86
"Zeri","ADC",2,"8.3%","0.0%","8.3%","50%","50%",9,7,6,2.1,"78.9%","20.0%","0%",687,-343,-3,10,"34.0%",511,"22.1%","30.6%",0.51,0.69
"Zoe","Middle",3,"12.5%","0.0%","12.5%","33%","100%",15,10,20,3.5,"79.5%","24.4%","100%",479,356,2.3,7.2,"18.3%",805,"28.7%","21.6%",0.6,0.16
